wavelength,AM15
0.30000,1.0205E-03
0.30050,1.2450E-03
0.30100,1.9300E-03
0.30150,2.6914E-03
0.30200,2.9209E-03
0.30250,4.2840E-03
0.30300,7.0945E-03
0.30350,8.9795E-03
0.30400,9.4701E-03
0.30450,1.1953E-02
0.30500,1.6463E-02
0.30550,1.8719E-02
0.30600,1.8577E-02
0.30650,2.1108E-02
0.30700,2.7849E-02
0.30750,3.5635E-02
0.30800,3.7837E-02
0.30850,4.1430E-02
0.30900,4.0534E-02
0.30950,4.3306E-02
0.31000,5.0939E-02
0.31050,6.5540E-02
0.31100,8.2922E-02
0.31150,8.4080E-02
0.31200,9.3376E-02
0.31250,9.8984E-02
0.31300,1.0733E-01
0.31350,1.0757E-01
0.31400,1.1969E-01
0.31450,1.3060E-01
0.31500,1.3625E-01
0.31550,1.1838E-01
0.31600,1.2348E-01
0.31650,1.5036E-01
0.31700,1.7158E-01
0.31750,1.8245E-01
0.31800,1.7594E-01
0.31850,1.8591E-01
0.31900,2.0470E-01
0.31950,1.9589E-01
0.32000,2.0527E-01
0.32050,2.4525E-01
0.32100,2.5024E-01
0.32150,2.3843E-01
0.32200,2.2203E-01
0.32250,2.1709E-01
0.32300,2.1226E-01
0.32350,2.4861E-01
0.32400,2.7537E-01
0.32450,2.8321E-01
0.32500,2.7894E-01
0.32550,3.2436E-01
0.32600,3.8120E-01
0.32650,4.0722E-01
0.32700,3.9806E-01
0.32750,3.8465E-01
0.32800,3.5116E-01
0.32850,3.7164E-01
0.32900,4.2235E-01
0.32950,4.6878E-01
0.33000,4.7139E-01
0.33050,4.2800E-01
0.33100,4.0262E-01
0.33150,4.1806E-01
0.33200,4.3623E-01
0.33250,4.3919E-01
0.33300,4.2944E-01
0.33350,4.0724E-01
0.33400,4.1497E-01
0.33450,4.4509E-01
0.33500,4.6388E-01
0.33550,4.5313E-01
0.33600,4.1519E-01
0.33650,3.8214E-01
0.33700,3.7380E-01
0.33750,4.0051E-01
0.33800,4.3411E-01
0.33850,4.5527E-01
0.33900,4.6355E-01
0.33950,4.7446E-01
0.34000,5.0180E-01
0.34050,5.0071E-01
0.34100,4.7139E-01
0.34150,4.6935E-01
0.34200,4.8934E-01
0.34250,5.0767E-01
0.34300,5.1489E-01
0.34350,4.8609E-01
0.34400,4.1843E-01
0.34450,4.0307E-01
0.34500,4.5898E-01
0.34550,4.8932E-01
0.34600,4.7778E-01
0.34650,4.8657E-01
0.34700,4.9404E-01
0.34750,4.7674E-01
0.34800,4.7511E-01
0.34850,4.8336E-01
0.34900,4.6564E-01
0.34950,4.7805E-01
0.35000,5.2798E-01
0.35050,5.6741E-01
0.35100,5.5172E-01
0.35150,5.3022E-01
0.35200,5.1791E-01
0.35250,4.8962E-01
0.35300,5.2040E-01
0.35350,5.7228E-01
0.35400,6.0498E-01
0.35450,6.1156E-01
0.35500,6.1140E-01
0.35550,5.9028E-01
0.35600,5.5387E-01
0.35650,5.1942E-01
0.35700,4.5673E-01
0.35750,4.6215E-01
0.35800,4.3006E-01
0.35850,3.9926E-01
0.35900,4.6953E-01
0.35950,5.6549E-01
0.36000,5.9817E-01
0.36050,5.6531E-01
0.36100,5.2024E-01
0.36150,5.0956E-01
0.36200,5.3420E-01
0.36250,5.8510E-01
0.36300,6.0191E-01
0.36350,5.8541E-01
0.36400,6.0628E-01
0.36450,6.0058E-01
0.36500,6.2359E-01
0.36550,6.8628E-01
0.36600,7.3532E-01
0.36650,7.3658E-01
0.36700,7.2285E-01
0.36750,7.0914E-01
0.36800,6.6759E-01
0.36850,6.6310E-01
0.36900,6.9315E-01
0.36950,7.4469E-01
0.37000,7.5507E-01
0.37050,6.8261E-01
0.37100,6.9338E-01
0.37150,7.2051E-01
0.37200,6.7444E-01
0.37250,6.4253E-01
0.37300,6.1886E-01
0.37350,5.5786E-01
0.37400,5.5640E-01
0.37450,5.5227E-01
0.37500,5.8930E-01
0.37550,6.5162E-01
0.37600,6.7480E-01
0.37650,6.6390E-01
0.37700,7.1225E-01
0.37750,7.9455E-01
0.37800,8.5595E-01
0.37850,8.3418E-01
0.37900,7.4389E-01
0.37950,6.6683E-01
0.38000,7.0077E-01
0.38050,7.5075E-01
0.38100,7.6383E-01
0.38150,6.8837E-01
0.38200,5.8678E-01
0.38250,5.0762E-01
0.38300,4.5499E-01
0.38350,4.4049E-01
0.38400,5.0968E-01
0.38450,6.1359E-01
0.38500,6.7355E-01
0.38550,6.4363E-01
0.38600,6.2100E-01
0.38650,6.4570E-01
0.38700,6.5147E-01
0.38750,6.4204E-01
0.38800,6.3582E-01
0.38850,6.3136E-01
